major_id,name,course_code_prefix,credit,course_type
,체육(레크리에이션),U763142,1,GENERAL
,체육(세계의무용),U763163,1,GENERAL
,체육(스킨스쿠버),U718593,1,GENERAL
,체육(승마),U763182,1,GENERAL
,체육(야영생활과리더쉽),U515122,1,GENERAL
,체육(여성호신술),Y211571,1,GENERAL
,체육(요가),U761062,1,GENERAL
,체육(윈드서핑),U718603,1,GENERAL
,체육(탁구),U761174,1,GENERAL
,체육(휘트니스),U718572,1,GENERAL
,안보학,U073016,2,GENERAL
,조직리더십,U073026,2,GENERAL
,Communication in English (RC),X001021,2,GENERAL
,English for Engineering (RC),X001051,2,GENERAL
,English for Management (RC),X001041,2,GENERAL
,Media English (RC),X001011,2,GENERAL
,TOEIC Speaking (RC),X001031,2,GENERAL
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
