,course,semester,professor,class_time,course_code,room
1245,875,13,김연규,화 3 4 목 1 2 ,F02005101,0402
1246,875,13,박진균,화 3 4 목 1 2 ,F02005102,3411
1247,875,13,김보정,월 1 2 수 3 4,F02005103,3411
1248,875,13,김보정,월 3 4 수 1 2,F02005104,3411
1249,876,13,은창선,월 3 4 목 2,F03405101,0508
1250,877,13,오정욱,금 3 4,F03367101,3411
1251,878,13,이정아,월 4 5 6,N01412101,2303-2
1252,879,13,김광섭,수 4 5 6,N01386101,1410
1253,880,13,박수진,수 1 2 3,A01398402,1410
1254,881,13,홍성훈,화 1 2 3,N01387101,1410
1255,882,13,김지현,화 4 5 6,N01347101,0509
1256,882,13,차은애,목 7 8 9,N01347102,2302
1257,883,13,이정아,월 1 2 3,N01398101,2303-2
1258,884,13,이정아,화 7 8 9,N01205201,1402
1259,885,13,최호성,목 1 2,N01308101,1403
1260,886,13,Ben Katoka,화 1 2,O14412101,2404
1261,887,13,Ben Katoka,화 5 6,O14315101,2404
1262,888,13,윤서영,목 3 4,O14301101,1306
1263,889,13,김광수,목 5 6,O14311101,1306
1264,890,13,황규득,월 7 8,O14306201,1306
1265,891,13,황규득,월 3 4,O14203201,1306
1266,892,13,Ghebru Bethel Gherima,수 5 6,O14308101,2303-3
1267,893,13,장용규,화 3 4,O14322101,1306
1268,894,13,Ghebru Bethel Gherima,금 3 4,O14317101,1306
1269,895,13,김유원,목 7 8,O14320101,2315-1
1270,896,13,Ben Katoka,월 1 2,O14411101,1306
1271,897,13,Ben Katoka,수 3 4,O14409101,1306
1272,898,13,김유원,화 7 8,O14319101,2404
1273,899,13,김영옥,월 7 8,N03323101,1409
1274,900,13,임병희,수 5 6,N03327101,1409
1275,901,13,라영균,화 3 4,N03319101,0413
1276,902,13,Holger Preut,목 7 8,N03430201,0207
1277,903,13,박영구,화 3 4 목 3,N03207301,2311
1278,903,13,박세미,월 5 수 3 4,N03207302,2308
1279,903,13,김영옥,월 6 수 7 8 ,N03207303,1409
1280,904,13,최성욱,화 1 2,N03315201,2302
1281,905,13,Frieder Stappenbeck,화 7 8,N03411201,0506
1282,906,13,Holger Preut,월 7 8 화 1 2 수 1 2,A03131501,0403
1283,906,13,Benjamin Neuss,화 1 2 수 1 2 목 1 2,A03131502,0505
1284,907,13,Holger Preut,화 5 6 수 5 6 목 3 4 ,A03135401,0302
1285,907,13,Benjamin Neuss,화 5 6 수 5 6 목 5 6,A03135402,0515
1286,907,13,Frieder Stappenbeck,월 7 8 화 5 6 수 5 6,A03135403,0506
1287,907,13,Frieder Stappenbeck,월 5 6 화 1 2 수 7 8,A03135404,0504
1288,908,13,김백기,월 4 5 6,A03139401,1409-1
1289,908,13,최성욱,월 1 2 3,A03139402,2315-1
1290,908,13,박세미,월 3 4 수 5,A03139403,2308
1291,908,13,임병희,월 3 4 수 3,A03139404,2402-1
1292,909,13,최경인,월 5 6,N03313201,1302
1293,910,13,안인경,목 3 4,N03409201,1409
1294,911,13,한상민,목 5 6,N03329101,1409
1295,912,13,한상민,목 7 8,N03432101,1409
1296,913,13,김백기,화 7 8 수 6,A03141401,1409-1
1297,913,13,박영구,화 7 8 목 4,A03141402,2311
1298,913,13,김이천,화 7 8 목 3,A03141403,2307
1299,914,13,김경랑,수 3 4,A03133102,1409
1300,914,13,홍구슬,화 5 6,A03133103,2511
1301,914,13,유주현,월 3 4,A03133104,2312-1
1302,915,13,최성욱,월 7 8,A03137101,2403-1
1303,915,13,유주현,화 3 4,A03137102,2416
1304,915,13,김경랑,수 1 2,A03137103,1409
1305,915,13,홍구슬,화 3 4,A03137104,2511
1306,916,13,Benjamin Neuss,수 7 8,N03428101,0514
1307,917,13,박세미,목 3 4,N03336101,1409-1
1308,918,13,이현송,화 1 2 3,N01203101,1402
1309,919,13,이현송,목 1 2 3,N01355101,1410
1310,920,13,Andrew Arthur Bruske,수 7 8,N01314101,2307
1311,921,13,김상수,금 1 2 3,N01357101,1402
1312,922,13,윤선경,목 1 2,N01331101,2306
1313,922,13,윤선경,목 3 4,N01331102,2306
1314,923,13,최순근,금 1 2 3,A01215401,2307
1315,923,13,최순근,금 4 5 6,A01215402,2307
1316,924,13,박순강,월 1 2,N01332101,1410
1317,924,13,박순강,월 3 4,N01332102,1410
1318,925,13,Finn Harvor,목 7 8,N01243101,2308
1319,926,13,Andrew Arthur Bruske,수 5 6,N01211101,2307
1320,927,13,이진아,월 4 5 6,N01420201,1403
1321,928,13,선희정,목 4 5 6,N01336101,2307
1322,928,13,선희정,수 7 8 9,N01336102,1402
1323,929,13,박정만,화 4 5 6,E01454501,2303-2
1324,929,13,박정만,수 1 2 3,E01454502,1402
1325,930,13,조은기,월 7 8,N01337101,2303-3
1326,931,13,성승은,"	화 3 4",A01242501,514
1327,932,13,Aziza Mashrabbekova,화 3 4,O11421101,1502
1328,933,13,Bakishev Dulat,화 3 4,O11303101,2403
1329,934,13,손영훈,수 1 2,O11423101,1502
1330,935,13,이지은,화 5 목 5 6,O11217501,1502
1331,936,13,Aziza Mashrabbekova,월 3 4,O11321101,1506-1
1332,937,13,Aziza Mashrabbekova,수 3 4,O11325101,1502
1333,938,13,손영훈,월 3 4,O11201201,1502
1334,939,13,Bakishev Dulat,수 3 4,O11203101,2403
1335,940,13,Aziza Mashrabbekova,목 7 8,O11335101,1502
1336,941,13,김상철,화 1 2,O11333201,1502
1337,942,13,손영훈,금 3 4,O11327101,1502
1338,943,13,이지은,화 7 8 9,O11331201,1502
1339,944,13,염동호,수 7 8 9,O11413201,1502
1340,945,13,이지은,월 1 2,O11429101,1502
1341,946,13,손영훈,목 3 4,O11109101,1502
1342,947,13,황영삼,수 5 6,O11407101,1502
1343,948,13,Aziza Mashrabbekova,월 7 8 목 1 2,O11219501,1502
1344,949,13,추영민,화 5 6 목 5 (1313),O11111401,2416
1345,950,13,Bakishev Dulat,월 7 8 목 1 2,O11105401,2403
1346,951,13,손영훈,금 5 6,O11212101,1502
1347,952,13,연상흠,금 1 2,O11223101,1502
1348,953,13,연상흠,월 5 6,O11306301,1502
1349,954,13,최용주,월 5 6 수 4,F08316201,0415
1350,955,13,이강웅,수 5 6,F08213101,0518
1351,956,13,최용주,화 7 8 9,F08215101,3515
1352,956,13,최용주,금 7 8 9,F08215102,3515
1353,957,13,최용주,월 7 수 5 6,F08415101,0415
1354,958,13,이태형,화 4 5 6,F08313201,0415
1355,959,13,조재창,월 3 4 화 5 (0402),F08324301,0516
1356,960,13,정태용,월 6 목 5 6,F08418201,0304
1357,961,13,조재창,월 5 화 3 4 (0403),F08123101,0516
