major_id,major_type,course_type,required_credits,track,applies_from_year,applies_to_year
16,PRIMARY,MAJOR,70,PRIMARY_WITH_MINOR,2023,2024
16,MINOR,MAJOR,21,PRIMARY_WITH_MINOR,2023,2024
16,,GENERAL,32,PRIMARY_WITH_MINOR,2023,2024
16,PRIMARY,MAJOR,78,INTENSIVE_WITH_MINOR,2023,2024
16,MINOR,MAJOR,21,INTENSIVE_WITH_MINOR,2023,2024
16,,GENERAL,32,INTENSIVE_WITH_MINOR,2023,2024
16,PRIMARY,MAJOR,78,INTENSIVE_SOLO,2023,2024
16,,GENERAL,32,INTENSIVE_SOLO,2023,2024
58,PRIMARY,MAJOR,70,PRIMARY_WITH_DOUBLE,2023,2024
58,DOUBLE,MAJOR,42,PRIMARY_WITH_DOUBLE,2023,2024
58,,GENERAL,32,PRIMARY_WITH_DOUBLE,2023,2024
58,PRIMARY,MAJOR,70,PRIMARY_WITH_MINOR,2023,2024
58,MINOR,MAJOR,21,PRIMARY_WITH_MINOR,2023,2024
58,,GENERAL,32,PRIMARY_WITH_MINOR,2023,2024
58,PRIMARY,MAJOR,78,INTENSIVE_WITH_MINOR,2023,2024
58,MINOR,MAJOR,21,INTENSIVE_WITH_MINOR,2023,2024
58,,GENERAL,32,INTENSIVE_WITH_MINOR,2023,2024
58,PRIMARY,MAJOR,78,INTENSIVE_SOLO,2023,2024
58,,GENERAL,32,INTENSIVE_SOLO,2023,2024
1,PRIMARY,MAJOR,54,PRIMARY_WITH_DOUBLE,2023,2024
1,DOUBLE,MAJOR,42,PRIMARY_WITH_DOUBLE,2023,2024
1,,GENERAL,32,PRIMARY_WITH_DOUBLE,2023,2024
1,PRIMARY,MAJOR,54,PRIMARY_WITH_MINOR,2023,2024
1,MINOR,MAJOR,21,PRIMARY_WITH_MINOR,2023,2024
1,,GENERAL,32,PRIMARY_WITH_MINOR,2023,2024
1,PRIMARY,MAJOR,70,INTENSIVE_WITH_MINOR,2023,2024
1,MINOR,MAJOR,21,INTENSIVE_WITH_MINOR,2023,2024
1,,GENERAL,32,INTENSIVE_WITH_MINOR,2023,2024
1,PRIMARY,MAJOR,70,INTENSIVE_SOLO,2023,2024
1,,GENERAL,32,INTENSIVE_SOLO,2023,2024
2,PRIMARY,MAJOR,54,PRIMARY_WITH_DOUBLE,2023,2024
2,DOUBLE,MAJOR,42,PRIMARY_WITH_DOUBLE,2023,2024
2,,GENERAL,32,PRIMARY_WITH_DOUBLE,2023,2024
2,PRIMARY,MAJOR,54,PRIMARY_WITH_MINOR,2023,2024
2,MINOR,MAJOR,21,PRIMARY_WITH_MINOR,2023,2024
2,,GENERAL,32,PRIMARY_WITH_MINOR,2023,2024
2,PRIMARY,MAJOR,70,INTENSIVE_WITH_MINOR,2023,2024
2,MINOR,MAJOR,21,INTENSIVE_WITH_MINOR,2023,2024
2,,GENERAL,32,INTENSIVE_WITH_MINOR,2023,2024
2,PRIMARY,MAJOR,70,INTENSIVE_SOLO,2023,2024
2,,GENERAL,32,INTENSIVE_SOLO,2023,2024
3,PRIMARY,MAJOR,54,PRIMARY_WITH_DOUBLE,2023,2024
3,DOUBLE,MAJOR,42,PRIMARY_WITH_DOUBLE,2023,2024
3,,GENERAL,32,PRIMARY_WITH_DOUBLE,2023,2024
3,PRIMARY,MAJOR,54,PRIMARY_WITH_MINOR,2023,2024
3,MINOR,MAJOR,21,PRIMARY_WITH_MINOR,2023,2024
3,,GENERAL,32,PRIMARY_WITH_MINOR,2023,2024
3,PRIMARY,MAJOR,70,INTENSIVE_WITH_MINOR,2023,2024
