major_id,course_id,major_type,applies_from_year,applies_to_year
39,736,PRIMARY,,
39,737,PRIMARY,,
39,738,PRIMARY,,
39,739,PRIMARY,,
39,740,PRIMARY,,
39,741,PRIMARY,,
39,742,PRIMARY,,
39,743,PRIMARY,,
39,744,PRIMARY,,
16,757,PRIMARY,,
16,758,PRIMARY,,
16,759,PRIMARY,,
16,760,PRIMARY,,
16,761,PRIMARY,,
34,779,PRIMARY,,
34,780,PRIMARY,,
34,781,PRIMARY,,
34,782,PRIMARY,,
34,783,PRIMARY,,
34,784,PRIMARY,,
17,800,PRIMARY,,
17,801,PRIMARY,,
17,802,PRIMARY,,
17,803,PRIMARY,,
17,804,PRIMARY,,
17,805,PRIMARY,,
27,813,PRIMARY,,
27,814,PRIMARY,,
27,815,PRIMARY,,
27,816,PRIMARY,,
27,817,PRIMARY,,
26,838,PRIMARY,,
26,839,PRIMARY,,
26,840,PRIMARY,,
26,841,PRIMARY,,
26,842,PRIMARY,,
20,853,PRIMARY,,
20,854,PRIMARY,,
20,855,PRIMARY,,
20,856,PRIMARY,,
20,857,PRIMARY,,
38,867,PRIMARY,,
38,868,PRIMARY,,
38,869,PRIMARY,,
38,870,PRIMARY,,
38,871,PRIMARY,,
8,880,PRIMARY,,
8,881,PRIMARY,,
8,882,PRIMARY,,
60,890,PRIMARY,,
60,891,PRIMARY,,
60,892,PRIMARY,,
60,893,PRIMARY,,
60,894,PRIMARY,,
9,906,PRIMARY,,
9,907,PRIMARY,,
9,908,PRIMARY,,
9,909,PRIMARY,,
9,910,PRIMARY,,
6,919,PRIMARY,,
6,920,PRIMARY,,
7,926,PRIMARY,,
7,927,PRIMARY,,
32,305,DOUBLE,,
32,310,DOUBLE,,
22,316,DOUBLE,,
22,335,DOUBLE,,
22,336,DOUBLE,,
22,337,DOUBLE,,
22,338,DOUBLE,,
59,347,DOUBLE,,
59,348,DOUBLE,,
59,349,DOUBLE,,
59,350,DOUBLE,,
30,363,DOUBLE,,
30,364,DOUBLE,,
30,365,DOUBLE,,
30,366,DOUBLE,,
30,367,DOUBLE,,
18,379,DOUBLE,,
18,380,DOUBLE,,
18,395,DOUBLE,,
18,396,DOUBLE,,
15,400,DOUBLE,,
15,401,DOUBLE,,
15,402,DOUBLE,,
15,403,DOUBLE,,
15,422,DOUBLE,,
15,423,DOUBLE,,
15,424,DOUBLE,,
50,428,DOUBLE,,
50,429,DOUBLE,,
50,430,DOUBLE,,
50,431,DOUBLE,,
28,442,DOUBLE,,
28,452,DOUBLE,,
28,453,DOUBLE,,
28,454,DOUBLE,,
28,455,DOUBLE,,
28,456,DOUBLE,,
43,460,DOUBLE,,
43,461,DOUBLE,,
43,462,DOUBLE,,
43,463,DOUBLE,,
37,473,DOUBLE,,
37,474,DOUBLE,,
37,475,DOUBLE,,
37,476,DOUBLE,,
