major_id,liberal_category_id,required_credit,applies_from_year,applies_to_year,
26,1,6,2024,2024,
26,4,3,2024,2024,
26,20,1,2024,2024,
26,13,1,2024,2024,
27,2,6,2024,2024,
27,1,6,2024,2024,
27,4,3,2024,2024,
27,20,1,2024,2024,
27,13,1,2024,2024,
28,2,6,2024,2024,
28,1,6,2024,2024,
28,4,3,2024,2024,
28,20,1,2024,2024,
28,13,1,2024,2024,
29,2,6,2024,2024,
29,1,6,2024,2024,
29,4,3,2024,2024,
29,20,1,2024,2024,
29,13,1,2024,2024,
30,2,6,2024,2024,
30,1,6,2024,2024,
30,4,3,2024,2024,
30,20,1,2024,2024,
30,13,1,2024,2024,
33,2,6,2024,2024,
33,1,6,2024,2024,
33,4,3,2024,2024,
33,20,1,2024,2024,
33,13,1,2024,2024,
34,2,6,2024,2024,
34,1,6,2024,2024,
34,4,3,2024,2024,
34,20,1,2024,2024,
34,13,1,2024,2024,
35,2,6,2024,2024,
35,1,6,2024,2024,
35,4,3,2024,2024,
35,20,1,2024,2024,
35,13,1,2024,2024,
36,2,6,2024,2024,
36,1,6,2024,2024,
36,4,3,2024,2024,
36,20,1,2024,2024,
36,13,1,2024,2024,
37,2,6,2024,2024,
37,1,6,2024,2024,
37,4,3,2024,2024,
37,20,1,2024,2024,
37,13,1,2024,2024,
38,2,6,2024,2024,
38,1,6,2024,2024,
38,4,3,2024,2024,
38,20,1,2024,2024,
38,13,1,2024,2024,
39,2,6,2024,2024,
39,1,6,2024,2024,
39,3,6,2024,2024,
39,4,3,2024,2024,
39,20,1,2024,2024,
39,13,1,2024,2024,
40,2,6,2024,2024,
40,1,6,2024,2024,
40,3,6,2024,2024,
40,4,3,2024,2024,
40,20,1,2024,2024,
40,13,1,2024,2024,
43,2,6,2024,2024,
43,1,6,2024,2024,
43,3,6,2024,2024,
43,4,3,2024,2024,
43,20,1,2024,2024,
43,13,1,2024,2024,
44,2,6,2024,2024,
44,1,6,2024,2024,
44,3,6,2024,2024,
44,4,3,2024,2024,
